,SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,ACTIVE_LOAN,DAYS_CREDIT,CREDIT_DAY_OVERDUE,AMT_CREDIT_SUM,DAYS_CREDIT_UPDATE,CREDIT_ACTIVE,ACTIVE_CREDIT,NUMBER_PREV_LOANS,DIFFERENT_LOAN_PRODUCTS,PREV_AMT_RECEIVED_MEAN,PREV_AMT_APPLICATION,PREV_AMT_ANNUITY,PREV_AMT_CREDIT,AMT_DOWN_PAYMENT,PREV_DAYS_DECISION,PREV_CNT_PAYMENT,PREV_RATE_DOWN_PAYMENT,INCOME_TO_TOTAL_ANNUITY
3942,100605,0,F,Y,Y,1,229500,1006920,72778.5,9.00E+05,Unaccompanied,Working,Higher education,Married,House / apartment,0.00823,-9920,-279,Laborers,3,0.227922774,76500,0.317117647,0.072278334,1,-100,0,1962270,-10,1,1962270,0,1,NA,3497904,NA,3536509.5,NA,-705.375,NA,NA,3.153403821
4438,100619,0,F,N,N,0,99000,364896,13653,315000,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.005084,-11156,-890,,1,0.271310182,99000,0.137909091,0.03741614,3,-254.75,0,173070,-187.5,4,173070,1,2,1.141130335,141048,18781.29,125316,19629,-1165.5,8.5,0.149517125,7.251153593
4577,100631,0,F,N,Y,1,135000,913500,26838,913500,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.010643,-17515,-2412,,2,0.147783251,67500,0.1988,0.02937931,0,-2117,0,103432.5,-1688.5,2,0,2,1,NA,375660,NA,388813.5,NA,-557.4,NA,NA,5.030181087
3630,100658,0,F,N,N,1,189000,215640,11695.5,180000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010966,-8948,-1381,Sales staff,3,0.876460768,63000,0.061880952,0.054236227,5,-689.625,0,699538.05,-234.125,8,542205,3,2,NA,240570,NA,508023,NA,-414.8333333,NA,NA,16.16006156
1390,100672,1,M,N,Y,0,112500,808650,26217,675000,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.006852,-21107,NA,,2,0.139120757,56250,0.23304,0.032420701,2,-1088.25,0,2121300,-374.75,4,661500,2,1,0.909987584,29684.25,3834.54,32620.5,2.25,-377,10,7.51E-05,4.291108823
3231,100726,0,M,Y,N,0,202500,450000,17271,450000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.025164,-10231,-747,Drivers,2,0.45,101250,0.085288889,0.03838,2,-479.8,0,1169918.955,-259,5,805500,3,2,1.013601637,334395,22680.36,332937,NA,-1083.75,9.5,NA,11.7248567
2732,100761,0,F,N,N,0,225000,225000,14778,225000,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.018801,-11518,-215,Realty agents,2,1,112500,0.06568,0.06568,2,-741.75,0,635926.5,-576.25,4,388755,2,2,1.12493188,629550,53907.345,626130,NA,-1153.5,15,NA,15.22533496
2080,100766,0,M,Y,Y,2,126000,157050,9621,112500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164,-14385,-415,Drivers,4,0.802292264,31500,0.076357143,0.061260745,1,-1154.5,0,313701.795,-614,2,286989.795,1,1,1,49518,5055.795,49518,0,-2089,12,0,13.09635173
1773,100853,0,F,N,Y,2,117000,276277.5,16825.5,238500,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.025164,-13176,-1725,Cooking staff,4,0.423487255,29250,0.143807692,0.060900725,3,-897.3333333,0,7682403.96,-272,6,7294500,3,3,1.077391792,823864.5,88056.63,851418,NA,-1611.888889,9.111111111,NA,6.953730944
2854,100903,0,F,N,Y,1,135000,574785,22023,436500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329,-17432,-3797,Medicine staff,3,0.23487043,45000,0.163133333,0.038315196,1,-964,0,1696500,-451.5,2,391500,1,2,NA,1102500,NA,1102500,NA,-236,NA,NA,6.129955047
2576,100919,0,F,N,N,0,48600,229500,16101,229500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.01452,-23039,NA,,2,0.211764706,24300,0.331296296,0.070156863,0,-2219.666667,0,297760.5,-631.6666667,3,0,3,1,NA,1161090,NA,1127997,NA,-1178.727273,NA,NA,3.018446059
3272,100991,0,M,N,Y,1,117000,474048,20214,360000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.015221,-14601,-4174,Security staff,3,0.24681045,39000,0.172769231,0.042641252,1,-2049,0,406583.28,-1413.857143,7,126000,6,2,1.115369674,194688,44474.04,715851,NA,-1407.2,10,NA,5.788067676
2858,101072,0,F,N,Y,0,180000,945000,31360.5,945000,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.026392,-17660,-6587,Core staff,1,0.19047619,180000,0.174225,0.033185714,2,-207,0,865580.85,-24,2,865580.85,0,2,NA,4425581.25,NA,4641408,NA,-707.3809524,NA,NA,5.739704405
3655,101075,0,F,N,Y,0,121500,533668.5,37273.5,477000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.072508,-16265,-2336,Cooking staff,1,0.227669424,121500,0.306777778,0.06984392,1,-1358.777778,0,382997.295,-1123.777778,9,4500,8,2,NA,1321154.685,NA,1302093,NA,-977.6,NA,NA,3.259688519
3941,101102,0,F,N,Y,2,90000,500211,28062,463500,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.005084,-13141,-168,Accountants,4,0.179924072,22500,0.3118,0.056100326,1,-962.5,0,6792345,-180,2,6651000,1,2,NA,762142.5,NA,811269,NA,-556.6666667,NA,NA,3.207184092
4741,101106,0,M,N,Y,0,157500,824242.5,42273,666000,Family,Working,Secondary / secondary special,Married,House / apartment,0.018801,-19452,-2273,Low-skill Laborers,2,0.191084541,78750,0.2684,0.051287091,1,-1000.833333,0,1972647,-616,6,1039500,5,2,NA,7154955,NA,7707132,NA,-986,NA,NA,3.725782414
4611,101151,0,F,N,N,0,90000,760225.5,32337,679500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00496,-17801,-1743,Laborers,2,0.118385926,45000,0.3593,0.042536063,0,-883,0,410319,-517.5,2,0,2,1,0.938078897,253399.5,26564.175,270126,0,-556,12,0,2.783189535
4995,101439,0,F,N,Y,0,202500,1350000,51552,1350000,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.026392,-19029,-3592,Core staff,1,0.15,202500,0.254577778,0.038186667,1,-1413.833333,0,2264710.5,-337.1666667,6,1210500,5,2,NA,1715746.5,NA,1854153,NA,-1981.4,NA,NA,3.928072626
3602,101490,0,M,N,Y,0,135000,229230,24817.5,202500,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018634,-18738,-5066,Laborers,2,0.588928151,67500,0.183833333,0.108264625,1,-1551.25,0,2139750,-549.5,4,1350000,3,1,NA,9.00E+05,NA,953460,NA,-264.4,NA,NA,5.439709882
511,101495,1,F,N,N,0,81000,450000,27193.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461,-15138,-717,Cooking staff,2,0.18,40500,0.335722222,0.06043,6,-428,0,1774260.675,-72.85714286,7,1478208.06,1,2,0.879127969,79569,10330.65,90423,0,-456.5,11,0,2.978652987
2729,101908,0,M,N,N,0,90000,508495.5,24462,454500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-18726,-921,Laborers,2,0.176992717,45000,0.2718,0.04810662,2,-441.6666667,0,636461.1,-84,3,604800,1,1,0.938042453,212400,16836.255,236398.5,NA,-995,17,NA,3.679175865
3012,101932,0,F,Y,Y,0,360000,2013840,53253,1800000,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,0.016612,-20205,NA,,1,0.17876296,360000,0.147925,0.026443511,2,-1140.833333,0,5139315,-374.5,6,2610000,4,2,NA,68949,NA,334894.5,NA,-976.6666667,NA,NA,6.760182525
3337,101960,0,F,N,Y,0,202500,1188765,50494.5,1093500,Unaccompanied,Working,Higher education,Married,House / apartment,0.035792,-18445,-3392,Accountants,2,0.170344854,101250,0.249355556,0.042476436,0,-795.5,0,764505,-589.25,4,0,4,1,NA,489460.5,NA,574960.5,NA,-1065.2,NA,NA,4.01033776
30,102028,1,F,Y,Y,0,126000,450000,30204,450000,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.028663,-11410,-688,Sales staff,2,0.28,63000,0.239714286,0.06712,5,-839.75,0,1867158,-269.875,8,1615500,3,2,1.154539523,563242.5,NA,489726,NA,-616.2857143,NA,NA,4.171632896
3719,102069,0,F,N,Y,1,65250,594000,19291.5,594000,Unaccompanied,Working,Higher education,Married,House / apartment,0.015221,-13738,-244,Core staff,3,0.109848485,21750,0.295655172,0.032477273,2,-1616.888889,0,8395899.615,-876.2222222,9,8091900,7,3,1.179478462,167117.535,21870.765,138627,29953.035,-956.25,7.5,0.160444544,3.382318638
3440,102178,0,F,N,N,0,117000,239850,25830,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009657,-10930,-295,Accountants,2,0.487804878,58500,0.220769231,0.107692308,2,-1385.285714,0,767335.95,-929.4285714,7,292500,5,2,NA,196020,NA,174150,NA,-1139,NA,NA,4.529616725
1441,102255,1,F,N,Y,2,288000,226908,10575,148500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0228,-11357,-1461,Cooking staff,4,1.269236871,72000,0.03671875,0.046604791,1,-339.6666667,0,264825,-30.66666667,3,135000,2,1,1.11112791,33070.5,5291.28,29763,3307.5,-421,6,0.10892391,27.23404255
3784,102308,0,F,N,N,0,202500,555273,17023.5,463500,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.018801,-22791,-1579,Security staff,1,0.364685479,202500,0.084066667,0.030657893,3,-1806.8,0,623052.72,-1131.6,5,513000,2,2,0.718241015,159192,28628.73,357750,NA,-1776,11.2,NA,11.89532117
1509,102323,0,F,N,Y,0,270000,792162,38241,630000,Unaccompanied,Working,Higher education,Married,House / apartment,0.04622,-22948,-348,Core staff,2,0.340839374,135000,0.141633333,0.048274217,2,-318.5,0,1113750,-7,2,1113750,0,2,0.897005237,316541.7,39184.605,351884.7,0,-329.3333333,10.66666667,0,7.06048482
2643,102330,0,F,N,N,0,67500,508495.5,21672,454500,Unaccompanied,Working,Higher education,Married,Co-op apartment,0.009549,-15395,-6362,Sales staff,2,0.132744538,33750,0.321066667,0.042619846,1,-661.1428571,0,448713.63,-486.4285714,7,117000,6,2,0.992193552,922837.5,NA,999346.5,NA,-709.2,NA,NA,3.11461794
993,102337,1,F,N,Y,0,49500,130824,5062.5,103500,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,0.010643,-21713,NA,,1,0.378370941,49500,0.102272727,0.038697028,0,-927,0,90000,-34,2,0,2,1,NA,646722,NA,744345,NA,-182.6666667,NA,NA,9.777777778
4642,102446,0,F,N,Y,0,90000,332473.5,12663,274500,Unaccompanied,Pensioner,Lower secondary,Single / not married,Municipal apartment,0.018029,-22096,NA,,1,0.270698266,90000,0.1407,0.038087246,3,-1068.833333,0,596509.515,-396.3333333,6,369000,3,2,NA,1293750,NA,1410894,NA,-1098.363636,NA,NA,7.10732054
4627,102520,0,F,N,Y,0,117000,225000,26833.5,225000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.026392,-24781,NA,,2,0.52,58500,0.229346154,0.11926,0,-681,0,90000,-507,1,0,1,1,1,31905,3385.44,31905,0,-110,12,0,4.360221365
698,102574,1,F,N,N,0,81000,306306,12978,247500,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,0.018634,-22898,NA,,1,0.264441441,81000,0.160222222,0.042369395,0,-1298,0,40365,-1180,1,0,1,1,NA,898686,NA,873279,NA,-507.9,NA,NA,6.241331484
4696,102587,0,M,Y,N,0,270000,1468719,42943.5,1282500,Unaccompanied,State servant,Higher education,Married,Office apartment,0.072508,-12439,-1098,Managers,2,0.183833667,135000,0.15905,0.029238745,3,-1270.2,0,1913445,-290.8,5,886500,2,3,NA,818505,NA,1144237.5,NA,-855.8333333,NA,NA,6.287331028
4950,102814,0,M,Y,N,0,315000,1800000,56650.5,1800000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.022625,-12599,-4765,Managers,2,0.175,157500,0.179842857,0.0314725,1,-1735.5,0,5275057.5,-705.5,6,2250000,5,2,NA,1543904.91,NA,1543585.5,NA,-224.25,NA,NA,5.560409882
1274,102837,1,M,N,N,0,202500,545040,35617.5,450000,Unaccompanied,Working,Incomplete higher,Civil marriage,House / apartment,0.032561,-10262,-401,Cooking staff,2,0.371532365,101250,0.175888889,0.065348415,1,-485.6666667,0,549333.09,-297.3333333,3,168286.5,2,1,1.407483432,107995.5,15477.165,76729.5,43200,-590,6,0.392303205,5.685407454
371,102839,1,F,N,N,0,225000,450000,21888,450000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.031329,-21977,NA,,1,0.5,225000,0.09728,0.04864,2,-1283.384615,0,2167916.94,-909.6153846,13,805500,11,3,NA,3576429,NA,3805267.5,NA,-809.3333333,NA,NA,10.27960526
3524,102961,0,F,N,Y,0,72000,1129500,31059,1129500,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.026392,-20665,NA,,2,0.06374502,36000,0.431375,0.027498008,1,-1257.571429,0,982827,-386.1428571,7,161775,6,2,NA,513459,NA,531882,NA,-1407.714286,NA,NA,2.318168647
1825,103013,0,M,Y,Y,1,247500,695970,37885.5,553500,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.031329,-13747,-2730,Core staff,3,0.355618777,82500,0.153072727,0.054435536,1,-1181.857143,0,8840844,-614.5714286,7,6691500,6,3,NA,992943,NA,1839154.5,NA,-861.5,NA,NA,6.53284238
4027,103101,0,M,N,Y,0,121500,1042560,34587,9.00E+05,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.006207,-8612,-1138,Sales staff,2,0.116540055,60750,0.284666667,0.033175069,2,-458.6666667,0,164376,-378.3333333,3,164376,1,2,1.008673975,196816.5,21160.755,203103,10233,-992.6666667,10.66666667,0.069461189,3.512880562
1506,103237,0,F,Y,Y,1,202500,302076,27832.5,270000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020246,-14234,-1293,Sales staff,3,0.670361101,67500,0.137444444,0.092137409,3,-877.6666667,0,647717.49,-397.6666667,6,378135,3,2,NA,5057784,NA,5928790.5,NA,-663.1578947,NA,NA,7.275666936
4621,103271,0,F,Y,Y,0,112500,314100,13437,225000,Unaccompanied,State servant,Secondary / secondary special,Widow,House / apartment,0.009549,-21420,-291,,1,0.358166189,112500,0.11944,0.04277937,4,-1246.181818,0,1287429.345,-813.5454545,11,571500,7,2,NA,389425.5,NA,411061.5,NA,-918.5,NA,NA,8.372404555
3519,103281,0,F,N,N,1,90000,276277.5,14593.5,238500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006296,-17024,-2409,Laborers,3,0.325759427,30000,0.16215,0.052821891,2,-1415.666667,0,734818.5,-851.1666667,6,261000,3,2,0.931075337,808555.5,50879.475,876915,NA,-488.5,18,NA,6.167129201
1668,103313,0,F,Y,Y,2,112500,211500,10417.5,211500,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.025164,-14887,-7362,Laborers,4,0.531914894,28125,0.0926,0.049255319,3,-438.2222222,0,527774.76,-234.4444444,9,250068.69,6,2,NA,1101060,NA,1301589,NA,-523,NA,NA,10.79913607
909,103381,1,F,N,Y,0,292500,501435,23373,414000,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.016612,-18735,-687,Cooking staff,1,0.583325855,292500,0.079907692,0.046612223,5,-929.125,0,4185931.5,-394,8,3853831.5,3,1,1.027171258,68224.5,6769.8,67648.5,6826.5,-1361,15,0.101442876,12.51443974
74,103563,1,F,N,Y,1,180000,970380,28503,810000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-17760,-225,Cleaning staff,3,0.185494342,60000,0.15835,0.029373029,2,-962.5,0,339840,-372.5,2,339840,0,2,NA,847908,NA,874971,NA,-306,NA,NA,6.315124724
876,103660,1,F,N,Y,0,90000,284400,16456.5,225000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.006852,-17442,-1745,Private service staff,1,0.316455696,90000,0.18285,0.057863924,0,-1992,0,15259.5,-1567,1,0,1,1,NA,135000,NA,135000,NA,-449.5,NA,NA,5.468963631
3687,103678,0,F,N,Y,0,90000,728460,38578.5,675000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.020246,-23716,NA,,1,0.123548307,90000,0.42865,0.052958982,6,-1351.705882,0,726479.775,-890.4117647,17,293967,11,2,1.105370588,243985.5,31662.315,230467.5,29250,-830,8,0.137805936,2.332905634
4019,103786,0,F,N,Y,0,202500,724500,21181.5,724500,Family,State servant,Higher education,Single / not married,House / apartment,0.01452,-17435,-9994,Core staff,1,0.279503106,202500,0.1046,0.029236025,1,-1927.5,0,337500,-307,2,135000,1,2,0.695929588,1266867,75829.95,1590975,NA,-933.5,22.5,NA,9.560229446
3993,103831,0,F,N,Y,0,90000,260568,27778.5,247500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.014464,-14370,-3367,Sales staff,2,0.345399282,45000,0.30865,0.106607488,0,-1511.333333,0,305768.835,-1262,3,0,3,1,0.90451483,52560,5717.88,58108.5,0,-942,12,0,3.239915762
3137,104248,0,M,Y,Y,0,180000,239850,23850,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.01885,-14019,-4525,Core staff,2,0.750469043,90000,0.1325,0.099437148,0,-1677,0,450000,-1210,1,0,1,1,NA,2202786,NA,2688592.5,NA,-1047.666667,NA,NA,7.547169811
3660,104377,0,F,N,Y,0,157500,577147.5,26874,459000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.02461,-17524,-2182,Laborers,2,0.272893844,78750,0.170628571,0.046563487,3,-1518.222222,0,2216137.5,-573.5555556,9,1327387.5,6,2,0.726651444,580504.5,71303.805,1139463,NA,-1380.166667,15.33333333,NA,5.860683188
4444,104446,0,F,N,Y,0,85500,180000,17662.5,180000,Unaccompanied,Pensioner,Higher education,Separated,House / apartment,0.028663,-22390,NA,,1,0.475,85500,0.206578947,0.098125,2,-1071.3,0,2172712.5,-623.6,10,765000,8,1,NA,47245.5,NA,24745.5,NA,-291,NA,NA,4.840764331
1595,104540,0,M,N,N,0,65250,239850,23494.5,225000,"Spouse, partner",Pensioner,Secondary / secondary special,Married,Municipal apartment,0.010556,-24839,NA,,2,0.272045028,32625,0.360068966,0.097954972,1,-864.6,0,1723500,-221,5,90000,4,2,NA,493020,NA,492232.5,NA,-750.6,NA,NA,2.777245738
3768,104579,0,M,Y,Y,0,225000,450000,27324,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-16422,-3672,Drivers,2,0.5,112500,0.12144,0.06072,2,-855.1666667,0,2067094.71,-420,6,1499445,4,1,NA,227574,NA,214281,NA,-240.4,NA,NA,8.234519104
4873,104613,0,F,N,Y,0,67500,808650,26217,675000,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792,-23272,NA,,2,0.083472454,33750,0.3884,0.032420701,4,-995.125,0,1059750,-349.5,8,491850,4,2,NA,63891,NA,57501,NA,-119.5,NA,NA,2.574665294
2750,104660,0,F,N,N,0,67500,242595,10813.5,202500,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,0.010276,-8514,-543,Sales staff,2,0.278241514,33750,0.1602,0.04457429,2,-551.5,0,782119.71,-170,4,517500,2,2,0.840258706,87993,12422.565,104634,0,-497,12,0,6.242197253
3720,104962,0,F,N,N,0,90000,327024,10575,270000,,Pensioner,Secondary / secondary special,Widow,House / apartment,0.009175,-23955,NA,,1,0.275209159,90000,0.1175,0.032337076,2,-1725.4,0,522014.85,-784.2,5,48614.85,3,2,NA,540000,NA,560790,NA,-372.6923077,NA,NA,8.510638298
2009,105065,0,M,Y,Y,1,225000,98910,8059.5,90000,Unaccompanied,State servant,Secondary / secondary special,Married,Office apartment,0.011657,-10267,-305,,3,2.274795268,75000,0.03582,0.081483167,8,-561.4166667,0,4467303,-222.75,12,2588031,4,2,NA,644323.5,NA,634000.5,NA,-328.1818182,NA,NA,27.9173646
2447,105073,0,F,N,Y,0,90000,1082214,31770,945000,Family,Working,Secondary / secondary special,Married,House / apartment,0.006207,-12417,-748,Laborers,2,0.083162849,45000,0.353,0.029356486,2,-287,0,1194435,-4,2,1194435,0,1,0.941871237,289170,14770.125,302724,NA,-423.3333333,8,NA,2.83286119
525,105081,1,M,N,Y,0,157500,301464,19395,238500,Unaccompanied,Working,Secondary / secondary special,Single / not married,Rented apartment,0.025164,-15143,-1365,Drivers,1,0.522450442,157500,0.123142857,0.06433604,1,-266,0,49410,-4,1,49410,0,1,1.131542461,29380.5,3083.085,25965,5895,-878,12,0.201512583,8.120649652
2621,105108,0,F,N,N,0,202500,1454094,40117.5,1138500,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792,-22510,NA,,2,0.139261973,101250,0.198111111,0.027589344,0,-1400.666667,0,843597,-1016.333333,6,0,6,2,1.036112764,278881.515,49086.135,265248,20248.515,-1189,8.5,0.052753079,5.047672462
4035,105129,0,F,N,Y,1,162000,454500,25506,454500,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.026392,-13250,-1170,Sales staff,2,0.356435644,81000,0.157444444,0.056118812,3,-1170.545455,0,2448692.73,-739,11,1210500,8,2,1.076596268,392561.235,40176.675,399204,9845.235,-1549.8,10.4,0.095877826,6.351446718
3277,105178,0,M,Y,Y,0,180000,225000,10296,225000,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.018634,-10573,-382,Sales staff,1,0.8,180000,0.0572,0.04576,2,-232.5,0,132930,-10.5,2,132930,0,1,1.017013047,437980.5,NA,433687.5,NA,-639.4,NA,NA,17.48251748
1401,105200,1,M,Y,N,2,157500,732834,46962,625500,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.020713,-12518,-1135,Cleaning staff,4,0.214919068,39375,0.298171429,0.064082725,1,-670.6666667,0,277271.505,-439,3,58495.5,2,1,0.941882459,1772860.5,145373.04,1942785,NA,-571.1666667,10.66666667,NA,3.353775393
1238,105319,1,F,N,Y,0,84150,265536,12901.5,180000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.020246,-22698,NA,,2,0.316906182,42075,0.153315508,0.048586632,7,-940.7333333,0,1613156.4,-410.6,15,1028358.855,8,2,NA,97321.5,NA,96214.5,NA,-1159.75,NA,NA,6.522497384
